 -------------------------------------- ------------- -------- ------ --------------------------------------------------- 
  Name                                   Method        Scheme   Host   Path                                               
 -------------------------------------- ------------- -------- ------ --------------------------------------------------- 
  _preview_error                         ANY           ANY      ANY    /_error/{code}.{_format}                           
  _wdt                                   ANY           ANY      ANY    /_wdt/{token}                                      
  _profiler_home                         ANY           ANY      ANY    /_profiler/                                        
  _profiler_search                       ANY           ANY      ANY    /_profiler/search                                  
  _profiler_search_bar                   ANY           ANY      ANY    /_profiler/search_bar                              
  _profiler_phpinfo                      ANY           ANY      ANY    /_profiler/phpinfo                                 
  _profiler_xdebug                       ANY           ANY      ANY    /_profiler/xdebug                                  
  _profiler_font                         ANY           ANY      ANY    /_profiler/font/{fontName}.woff2                   
  _profiler_search_results               ANY           ANY      ANY    /_profiler/{token}/search/results                  
  _profiler_open_file                    ANY           ANY      ANY    /_profiler/open                                    
  _profiler                              ANY           ANY      ANY    /_profiler/{token}                                 
  _profiler_router                       ANY           ANY      ANY    /_profiler/{token}/router                          
  _profiler_exception                    ANY           ANY      ANY    /_profiler/{token}/exception                       
  _profiler_exception_css                ANY           ANY      ANY    /_profiler/{token}/exception.css                   
  app_admin                              ANY           ANY      ANY    /admin                                             
  app_user_edit                          ANY           ANY      ANY    /admin/{id}/edit                                   
  app_user_delete                        POST          ANY      ANY    /users/{id}                                        
  app_collab_request_index               GET           ANY      ANY    /collab-request/                                   
  app_collab_request_new                 GET|POST      ANY      ANY    /collab-request/new/{id}                           
  app_collab_request_show                GET           ANY      ANY    /collab-request/{id}                               
  app_collab_request_edit                GET|POST      ANY      ANY    /collab-request/{id}/edit                          
  app_collab_request_cancel              POST          ANY      ANY    /collab-request/{id}/cancel                        
  app_collaborator_index                 GET           ANY      ANY    /collaborator/                                     
  app_collaborator_new                   GET|POST      ANY      ANY    /collaborator/new                                  
  app_collaborator_show                  GET           ANY      ANY    /collaborator/{id}                                 
  app_collaborator_edit                  GET|POST      ANY      ANY    /collaborator/{id}/edit                            
  app_collaborator_delete                POST|DELETE   ANY      ANY    /collaborator/{id}/delete                          
  app_comment_new                        GET|POST      ANY      ANY    /forum/{id}/comment/new                            
  app_comment_edit                       GET|POST      ANY      ANY    /comment/{id}/edit                                 
  app_comment_delete                     POST          ANY      ANY    /comment/{id}                                      
  app_comment_toggle_hide                POST          ANY      ANY    /comment/{id}/hide                                 
  app_contract_index                     GET           ANY      ANY    /contract/                                         
  app_contract_show                      GET           ANY      ANY    /contract/{id}                                     
  app_contract_download                  GET           ANY      ANY    /contract/{id}/download                            
  app_contract_sign                      POST          ANY      ANY    /contract/{id}/sign                                
  app_contract_complete                  POST          ANY      ANY    /contract/{id}/complete                            
  app_contract_terminate                 GET|POST      ANY      ANY    /contract/{id}/terminate                           
  app_home                               ANY           ANY      ANY    /                                                  
  app_manager_collab_request_index       GET           ANY      ANY    /manager/collab-request/                           
  app_manager_collab_request_show        GET           ANY      ANY    /manager/collab-request/{id}                       
  app_manager_collab_request_approve     POST          ANY      ANY    /manager/collab-request/{id}/approve               
  app_manager_collab_request_reject      GET|POST      ANY      ANY    /manager/collab-request/{id}/reject                
  app_manager_collab_request_modify      GET|POST      ANY      ANY    /manager/collab-request/{id}/request-modification  
  app_manager_contract_index             GET           ANY      ANY    /manager/contract/                                 
  app_manager_contract_show              GET           ANY      ANY    /manager/contract/{id}                             
  app_manager_contract_edit              GET|POST      ANY      ANY    /manager/contract/{id}/edit                        
  app_manager_contract_send              POST          ANY      ANY    /manager/contract/{id}/send                        
  forum_index                            GET           ANY      ANY    /forum                                             
  app_post_new                           GET|POST      ANY      ANY    /forum/new                                         
  app_post_show                          GET|POST      ANY      ANY    /forum/{id}                                        
  app_post_mark_solution                 GET           ANY      ANY    /forum/{id}/comment/{commentId}/solution           
  app_post_edit                          GET|POST      ANY      ANY    /forum/{id}/edit                                   
  app_post_delete                        POST          ANY      ANY    /forum/{id}/delete                                 
  app_post_like                          POST          ANY      ANY    /forum/{id}/like                                   
  app_public_contract_signature_view     GET           ANY      ANY    /contract/sign/{contractNumber}/{token}            
  app_public_contract_signature_accept   POST          ANY      ANY    /contract/sign/{contractNumber}/{token}/accept     
  app_public_contract_signature_reject   POST          ANY      ANY    /contract/sign/{contractNumber}/{token}/reject     
  app_login                              ANY           ANY      ANY    /login                                             
  app_logout                             ANY           ANY      ANY    /logout                                            
  app_useradd                            ANY           ANY      ANY    /user/new                                          
 -------------------------------------- ------------- -------- ------ --------------------------------------------------- 

